sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
S_7124,Bacteroides uniformis,820,S,1199505,1735662,2935167,0.11640,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides uniformis,2;976;200643;171549;815;816;820
S_7124,Bacteroides eggerthii,28111,S,642463,263670,906133,0.03594,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides eggerthii,2;976;200643;171549;815;816;28111
S_7124,Bacteroides faecis,674529,S,183112,90214,273326,0.01084,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecis,2;976;200643;171549;815;816;674529
S_7124,Bacteroides stercoris,46506,S,71880,31250,103130,0.00409,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides stercoris,2;976;200643;171549;815;816;46506
S_7124,Bacteroides sp. A1C1,2528203,S,8862,93454,102316,0.00406,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. A1C1,2;976;200643;171549;815;816;2528203
S_7124,Bacteroides sp. HF-162,2785531,S,6685,101418,108103,0.00429,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. HF-162,2;976;200643;171549;815;816;2785531
S_7124,Bacteroides sp. CACC 737,2755405,S,2282,18114,20396,0.00081,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. CACC 737,2;976;200643;171549;815;816;2755405
S_7124,Bacteroides sp. M10,2763022,S,770,928,1698,0.00007,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. M10,2;976;200643;171549;815;816;2763022
S_7124,Bacteroides sp. D2,556259,S,452,1106,1558,0.00006,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. D2,2;976;200643;171549;815;816;556259
S_7124,Bacteroides sp. DH3716P,2847299,S,284,4989,5273,0.00021,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. DH3716P,2;976;200643;171549;815;816;2847299
S_7124,Bacteroides sp. MSB163,3117552,S,27,10,37,0.00000,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides sp. MSB163,2;976;200643;171549;815;816;3117552
S_7124,Bacteroides xylanisolvens,371601,S,20827,118652,139479,0.00553,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides xylanisolvens,2;976;200643;171549;815;816;371601
S_7124,Bacteroides thetaiotaomicron,818,S,13464,4276,17740,0.00070,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides thetaiotaomicron,2;976;200643;171549;815;816;818
S_7124,Bacteroides ovatus,28116,S,11764,44572,56336,0.00223,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides ovatus,2;976;200643;171549;815;816;28116
S_7124,Bacteroides fragilis,817,S,10754,9801,20555,0.00082,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides fragilis,2;976;200643;171549;815;816;817
S_7124,Bacteroides salyersiae,291644,S,1463,205,1668,0.00007,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides salyersiae,2;976;200643;171549;815;816;291644
S_7124,Bacteroides humanifaecis,2792859,S,1368,17548,18916,0.00075,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides humanifaecis,2;976;200643;171549;815;816;2792859
S_7124,Bacteroides intestinalis,329854,S,288,41,329,0.00001,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides intestinalis,2;976;200643;171549;815;816;329854
S_7124,Bacteroides luhongzhouii,2650158,S,192,57,249,0.00001,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides luhongzhouii,2;976;200643;171549;815;816;2650158
S_7124,Bacteroides caccae,47678,S,170,204,374,0.00001,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caccae,2;976;200643;171549;815;816;47678
S_7124,Bacteroides finegoldii,338188,S,130,101,231,0.00001,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides finegoldii,2;976;200643;171549;815;816;338188
S_7124,Bacteroides caecimuris,1796613,S,88,38,126,0.00001,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides caecimuris,2;976;200643;171549;815;816;1796613
S_7124,Bacteroides helcogenes,290053,S,85,1,86,0.00000,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides helcogenes,2;976;200643;171549;815;816;290053
S_7124,Bacteroides cellulosilyticus,246787,S,75,80,155,0.00001,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides cellulosilyticus,2;976;200643;171549;815;816;246787
S_7124,Bacteroides zhangwenhongii,2650157,S,35,38,73,0.00000,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides zhangwenhongii,2;976;200643;171549;815;816;2650157
S_7124,Bacteroides nordii,291645,S,30,2,32,0.00000,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides nordii,2;976;200643;171549;815;816;291645
S_7124,Bacteroides faecium,2715212,S,21,1,22,0.00000,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides;s__Bacteroides faecium,2;976;200643;171549;815;816;2715212
S_7124,Phocaeicola vulgatus,821,S,415619,314499,730118,0.02896,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola vulgatus,2;976;200643;171549;815;909656;821
S_7124,Phocaeicola dorei,357276,S,150645,126624,277269,0.01100,k__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Phocaeicola;s__Phocaeicola dorei,2;976;200643;171549;815;909656;357276
