sample_id,name,taxonomy_id,taxonomy_lvl,kraken_assigned_reads,added_reads,new_est_reads,fraction_total_reads,lineage,taxid_lineage
G_7117,Dorea,189330,G,1132516,470456,1602972,0.07905,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Dorea;s__,2;1239;186801;3085636;186803;189330;
G_7117,Roseburia,841,G,1131834,322405,1454239,0.07171,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Roseburia;s__,2;1239;186801;3085636;186803;841;
G_7117,Anaerostipes,207244,G,1122386,265842,1388228,0.06846,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerostipes;s__,2;1239;186801;3085636;186803;207244;
G_7117,Coprococcus,33042,G,751760,377785,1129545,0.05570,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Coprococcus;s__,2;1239;186801;3085636;186803;33042;
G_7117,Blautia,572511,G,646846,426732,1073578,0.05294,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Blautia;s__,2;1239;186801;3085636;186803;572511;
G_7117,Anaerobutyricum,2569097,G,430002,100313,530315,0.02615,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Anaerobutyricum;s__,2;1239;186801;3085636;186803;2569097;
G_7117,Mediterraneibacter,2316020,G,374650,271366,646016,0.03186,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Mediterraneibacter;s__,2;1239;186801;3085636;186803;2316020;
G_7117,Eshraghiella,3342669,G,184094,36726,220820,0.01089,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eshraghiella;s__,2;1239;186801;3085636;186803;3342669;
G_7117,Simiaoa,2944193,G,149013,48997,198010,0.00976,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Simiaoa;s__,2;1239;186801;3085636;186803;2944193;
G_7117,Wujia,2944152,G,65205,25025,90230,0.00445,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wujia;s__,2;1239;186801;3085636;186803;2944152;
G_7117,Agathobacter,1766253,G,34606,16378,50984,0.00251,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Agathobacter;s__,2;1239;186801;3085636;186803;1766253;
G_7117,Lachnoclostridium,1506553,G,21597,3247,24844,0.00123,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnoclostridium;s__,2;1239;186801;3085636;186803;1506553;
G_7117,Enterocloster,2719313,G,11523,1481,13004,0.00064,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Enterocloster;s__,2;1239;186801;3085636;186803;2719313;
G_7117,Eisenbergiella,1432051,G,11036,2346,13382,0.00066,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__,2;1239;186801;3085636;186803;1432051;
G_7117,Wansuia,2944198,G,7392,792,8184,0.00040,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Wansuia;s__,2;1239;186801;3085636;186803;2944198;
G_7117,Sellimonas,1769710,G,5738,2311,8049,0.00040,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Sellimonas;s__,2;1239;186801;3085636;186803;1769710;
G_7117,Lachnospira,28050,G,4289,327,4616,0.00023,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Lachnospira;s__,2;1239;186801;3085636;186803;28050;
G_7117,Novisyntrophococcus,2888809,G,3801,269,4070,0.00020,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Novisyntrophococcus;s__,2;1239;186801;3085636;186803;2888809;
G_7117,Hungatella,1649459,G,3154,513,3667,0.00018,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Hungatella;s__,2;1239;186801;3085636;186803;1649459;
G_7117,Qiania,2944195,G,2070,315,2385,0.00012,k__Bacteria;p__Bacillota;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Qiania;s__,2;1239;186801;3085636;186803;2944195;
